"","Timestamp","How old are you?","Please indicate your sex","Which province or territory do you live in?","What is your highest education level?","Have you been following the election?","How much do you value the alignment between you and the candidate's policies?","How's your satisfaction with the current Canadian government?","How would you rate the current government's response on combating COVID-19?","In your opinion, what is the most important issue facing in Canada today?","If the Federal Election were being held today, who would you vote for?"
"1",2020-10-07 16:00:02,"65+","Male","Manitoba","University certificate, diploma or degree at bachelor level or above","Yes",9,"Very Dissatisfied",8,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"2",2020-10-07 16:00:09,"65+","Female","Alberta","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",5,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"3",2020-10-07 16:00:01,"25-34","Male","Alberta","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Satisfied",7,"Foreign Affairs","Erin O’Toole's Conservative Party of Canada"
"4",2020-10-07 16:00:16,"25-34","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",9,"Accountability/Leadership","Annamie Paul's Green Party of Canada"
"5",2020-10-07 16:00:06,"55-64","Female","Quebec","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Satisfied",8,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"6",2020-10-07 16:00:15,"55-64","Female","Nova Scotia","No certificate, diploma or degree","No",10,"No Opinion",8,"Health Care","Justin Trudeau's Liberal Party of Canada"
"7",2020-10-07 16:00:04,"18-24","Male","Quebec","University certificate or diploma below bachelor level","Yes",8,"Somewhat Dissatisfied",6,"Health Care","Annamie Paul's Green Party of Canada"
"8",2020-10-07 16:00:09,"25-34","Male","Ontario","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Dissatisfied",10,"Health Care","Erin O’Toole's Conservative Party of Canada"
"9",2020-10-07 16:00:04,"45-54","Female","British Columbia","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Dissatisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"10",2020-10-07 16:00:00,"35-44","Female","Ontario","No certificate, diploma or degree","No",10,"Somewhat Dissatisfied",5,"Environment","Justin Trudeau's Liberal Party of Canada"
"11",2020-10-07 16:00:17,"55-64","Male","Quebec","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Dissatisfied",10,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"12",2020-10-07 16:00:12,"55-64","Female","Quebec","No certificate, diploma or degree","No",9,"Somewhat Satisfied",4,"Accountability/Leadership","Jagmeet Singh's New Democratic Party of Canada"
"13",2020-10-07 16:00:17,"55-64","Female","Nova Scotia","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Dissatisfied",8,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"14",2020-10-07 16:00:14,"25-34","Female","Ontario","No certificate, diploma or degree","Yes",9,"Somewhat Dissatisfied",4,"Environment","Erin O’Toole's Conservative Party of Canada"
